CIIU;Fecha;Mes;Nit;Ingresos_Ordinarios;Costo_de_ventas;Anio;Tasa_desempleo;Var_Tasa_desempleo;Indice_Precios_Vivienda_Nueva;Var_Indice_Precios_Vivienda_Nueva;Indice_Real_Precios_Vivienda_Usada;Var_Indice_Real_Precios_Vivienda_Usada;Inflacion;Variacion_PIB_Real;Salario_Minimo;Var_Salario_Minimo;TRM;Var_TRM;UVR;Var_UVR;Var_IPP;Var_ICCV;Var_FIVI
F4210 - Construccion de carreteras y vias de ferrocarril;31/12/2018;12;900390238;22563875;16653916;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;811037405;136209653;125882907;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;811037405;105347648;93233382;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900245690;23581804;17546752;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900245690;7751653;3970633;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;901023294;7505807;7189518;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;901023294;4544402;4164235;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900397244;87119028;78986359;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900397244;68696482;61513607;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900615402;3829867;0;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900615402;8538599;0;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4220 - Construccion de proyectos de servicio público;31/12/2019;12;900387909;47551549;40012237;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4220 - Construccion de proyectos de servicio público;31/12/2018;12;900387909;28096201;53463342;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900545564;26394579;24554260;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900545564;16420707;15086969;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900112154;5185108;3862318;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900112154;10736590;9270232;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4112 - Construccion de edificios no residenciales;31/12/2019;12;900352525;7157488;5662672;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4112 - Construccion de edificios no residenciales;31/12/2018;12;900352525;162375;57273;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
